ながむ,物思いに沈む・口ずさむ
おとなし,思慮分別がある・主だっている
あはれなり,しみじみと心に深く感じられる
あてなり,高貴である・上品である
いうなり,優れている・優雅である
まめなり,まじめだ・実用的である
あだなり,はかない・浮気だ
いたづらなり,役に立たない・むなしい
つれづれなり,退屈である・ものさびしい
すずろなり,なんということ（わけ）もない・思いがけない・むやみやたらだ
おろかなり,いい加減だ・並一通りだ・言い尽くせない
むげなり,ひどい・ひどく
あからさまなり,ほんのちょっと
としごろ,長年
つとめて,早朝・翌朝
あした,朝・翌朝
かげ,光・姿
かたち,容貌
けしき,様子・機嫌・機会
けはひ,様子・雰囲気・香り・面影
ふみ,手紙・漢詩
せうそこ,手紙・訪問の申し入れ
て,字・演奏法
いそぎ,準備
たより,よりどころ・つて・良い機会
なさけ,情愛・思いやり・愛情
ほい,かねてからの願い
いと,大変・非常に
げに,本当に
なかなか,かえって
なほ,なんといってもやはり・それでもやはり
え,ことができない
な～そ,～するな・してはならない
やうやう,しだいに
やがて,そのまま・すぐに
かづく,かぶる・いただく・与える
ときめく,寵愛を受ける・栄える
しる,わかる・治める
およすく,成長する・おとなになる
ねぶ,年を取る・大人びる
おくる,先立たれる
まもる,見つめる
あくがる,さまよい出る・浮かれ歩く
かたらふ,語り合う・親しく交際する・契る・説得する
すむ,通う
かきくらす,空を暗くする・悲しみに暮れる
きこゆ,聞こえる・評判になる・分かる
さる,避ける・なる
こうず,つかれる
かこつ,嘆く
そばむ,横を向く
すまふ,抵抗する・断る
たふ,こらえる・我慢する
おきつ,決めておく・指図する
いむ,忌み嫌う
さはる,差し支える・妨げられる
すさぶ,興じる・気の向くままに～する
やつす,質素にする・出家にする
なづむ,行き悩む・悩み苦しむ
やすらふ,ためらう・立ち止まる
さかし,すぐれている・しっかりしている・こざかしい
はかばかし,しっかりしている・はっきりしている
はかなし,頼りない・ちょっとしたことだ
すきずきし,好色だ・風流だ
なまめかし,上品だ・若々しい
らうたし,かわいい
なつかし,親しみ深い
めやすし,感じが良い
こころやすし,安心だ・容易だ
こころにくし,奥ゆかしい
つきづきし,似つかわしい
こころづきなし,気に食わない
あいなし,つまらない・なんとなく
なめし,無礼だ
あぢきなし,思うようにならない・つまらない
よしなし,つまらない・関係がない
わりなし,ひどい・どうしようもない・苦しい
おどろおどろし,大げさだ・気味が悪い
すごし,気味が悪い・さびしい・すばらしい
いたし,すばらしい・ひどい・はなはだしく・それほど
はしたなし,決まりが悪い・そっけない・激しい
しるし,はっきりとわかる・～（の）とおりに
うしろめたし,気がかりだ
こころぐるし,気の毒だ・きがかりだ
とし,早い
あたらし,惜しい
きよらなり,清らかで美しい
えんなり,しっとりと美しい・しゃれている
なのめなり,並ひととおりだ・いい加減だ・並ひととおりではない
あながちなり,強引だ・むやみに
かたくななり,偏屈だ・無教養だ
あらはなり,丸見えである
さらなり,言うまでもない
うち,宮中・帝
うへ,帝・奥様
おほやけ,朝廷・帝
おまへ,お側
おぼえ,評判・寵愛
こころざし,愛情・お礼の贈り物
ことわり,道理
あるじ,もてなし
かいまみ,覗き見
ためし,先例
しるし,はっきりとわかる・～（の）とおりに
うつつ,現実・正気
よし,風情・由緒・手だて・こと
つごもり,月の最後の日・月の終わり頃
つゆ,少しも～ない
たえて,全然・まったく
ゆめ・ゆめゆめ,決して～ない・決して～するな
さらに,まったく～ない
よに,まったく～ない・実に
おほかた,まったく～ない
をさをさ,ほとんど～ない
いかが,どのように…か・どうして…か
いかに・いかにか,どう・どのように・どうして
いかで・いかでか,どうして～だろうか[疑問・反語]・なんとかして
あまた,たくさん
ここら・そこら,たくさん・たいそう
いとど,ますます
なべて,一般に・並ひととおり
おのづから,たまたま・もしかして
かたみに,お互いに
かく,このように
さ,そのように
しか,そのように
さすがに,そうはいてもやはり・なんといってもやはり
さながら,そのまま・すべて
とかく,あれやこれや
わざと,わざわざ・特に・正式な
すなはち,すぐに
いま,すぐに・もう
やをら,そっと
いつしか,いつの間にか・早く
いふかひなし,言っても仕方がない・情けない・身分が低い
あり,いる・生きている
おとなふ,音がする
よばふ,呼び続ける・求婚する
かる,干上がる・枯れる
むすぶ,できる・すくう
しほたる,涙を流す
もてなす,ふるまう・取り扱う
したたむ,処理する・準備を整える
まねぶ,まねる・伝える
たばかる,工夫する・だます
ためらふ,心を鎮める・体を休ませる
かたじけなし,おそれ多い・ありがたい・面目ない
さうなし,比べるものがない
くまなし,陰がない・何でも知っている
いまめかし,現代風だ・軽薄だ
まばゆし,まぶしい・美しい・恥ずかしい・見ていられない
らうらうじ,巧みだ・上品だ
うるせし,賢い・巧みだ
かしかまし,やかましい・うるさい
らうがはし,ごたごたしている・乱雑だ
いぶせし,うっとうしい・気がかりだ
ところせし,窮屈だ
つつまし,気が引ける・きまりが悪い
こちたし,うるさい・おおげさだ・はなはだしい
めざまし,気に食わない・すばらしい
あなづらはし,軽く扱っても構わない・気が置けない
けし,異様だ
むくつけし,気味が悪い・無骨だ
ねたし,くやしい
あやなし,道理に合わない・つまらない
あへなし,落胆している・はかない
さがなし,意地が悪い・いたずらだ
ずちなし,どうしようもない
まさなし,よくない
ゆくりなし,突然だ
おほけなし,身の程知らずだ
しどけなし,怠慢だ・気楽だ
まだし,まだし
いぎたなし,寝坊だ
ねんごろなり,心を込めている・親密だ
こまやかなり,繊細で美しい・心がこもっている
みそかなり,ひそかに
ことなり,違っている・特に優れている
おぼろけなり,並一通りだ・並一通りでない
おいらかなり,おっとりしている
とみなり,急だ
うちつけなり,にわかだ・軽率だ
せちなり,切実である・大切である
あやにくなり,意地が悪い・あいにくだ
をこなり,愚かだ・ばかばかしい
ちぎり,約束・宿縁
ほだし,障害となるもの
とが,欠点・罪
いろ,色・表面・風情・恋愛
あいぎゃう,いつくしみ敬うこと・かわいらしさ
ざえ,教養・（習得して得た）才能
しな,階段・階級・品格
よ・よのなか,男女の仲・夫婦の仲
おと,弟・妹・物音・声
こころ,精神・情け・意志
ここち,気持ち・気分・ようす
いも,いとしいあなた
はらから,兄弟
ふるさと,なじみの土地・我が家
あない,文書の内容・ようす
ひがこと,間違い
そらごと,嘘
ものがたり,世間話
やう,様子・理由・方法・～ことには
ゆえ,原因・理由・素性・風情
ほど,ころ・広さ・身分・様子
かぎり,限界・極致・臨終・すべて
きは,身分
つま,夫
ついで,序列・機会
かたへ,半分・傍ら・仲間
ひま,隙間・合間
よろこび,お礼
よろづ,さまざま・何事につけても
わざ,事・葬儀
そのかみ,その当時
など・などか,どうして
なでふ・なんでふ,なんという・なんで・どうして
せめて,強いて・ひどく
かつ,一方では・すぐに
さだめて,きっと
かまへて,決して～ない・なんとかして
さて,そのまま・そのほか
むべ・うべ,なるほど
うたて,嫌な感じに・異様に怪しく
ひねもす,一日中
いさ,さあねえ・さあ、どうだかわからない
いざ,さあ・どれ
あへず,耐えられない・最後まで〜できない
あなかしこ,決して～するな
あなかま,静かに。
みぐしおろす,出家する
いふもおろかなり,いくら言っても言い尽くせない・いうまでもない
れいの,いつもの・普通の
そこはかとなし,どことはっきりしない・とりとめもない
たまふ,【四段】Ｓお与えになる・くださる・～なさる・お～になる【下二段】Ｋ～（ており）ます
たまふ,【四段】Ｓお与えになる・くださる・～なさる・お～になる【下二段】Ｋ～（ており）ます
たまはす,Ｓ　お与えになる
たまはる,Ｋ　いただく　（Ｓお与えになる・くださる）
たてまつる,Ｋ差し上げる・～申し上げる・Ｓお召しになる・召しあがる・お乗りになる
まいる,参上する
まいらす,Ｋ差し上げる・～申し上げる
まうづ,Ｋ参上する・差し上げる・Ｓ召しあがる
まかる・まかづ,Ｋ退出する
まうす,申し上げる・お願いする
きこゆ・きこえさす,Ｋ申し上げる・（お）～申し上げる
そうす,Ｋ申し上げる
けいす,Ｋ申し上げる
はべり,Ｋお仕え申し上げる・Ｔあります・～（でござい）ます
さぶらふ・さうらふ,Ｋお仕え申しあげる・Ｔあります・～（でござい）ます
のたまふ・のたまはす,Ｓおっしゃる
おほす,Ｓおっしゃる
きこしめす,Ｓお聞きになる・召しあがる
うけたまはる,Ｋお受けする・お聞きする
おはす・おはします,Ｓいらっしゃる・～ていらっしゃる
います・ます・まします・いますかり,Ｓいらっしゃる・～ていらっしゃる
めす,Ｓお呼びになる・お取り寄せになる・お召しになる・お乗りになる
おぼす・おぼしめす,Ｓお思いになる
おほとのごもる,Ｓおやすみになる
つかはす,お使いになる
あそばす,Ｓなさる
つかうまつる,お仕え申し上げる
しろしめす,Ｓ知っていらっしゃる・お治めになる
ごらんず,Ｓ御覧になる
ぎやうがう・ごかう,時刻区分として一夜を五つに分けたもの
