arise,起こる・生じる
the Sea of Japan,日本海
archipelago,列島
basin,盆地
valley,谷
altitude,高度
lacquer,漆
national treasure,国宝
restore,回復させる
designate,指定する
ingredient,成分
staple,形：主要な、名：主要産物
season,名：季節、動：味付けする
thinly sliced,薄切りの
top,上に乗る
deep-fried,油で揚げた
batter,（揚げ物に）衣をつける
pickle,名：ピクルス、動：塩漬けにする
broth,だし
ferment,発酵させる
buckwheat,そば粉
self-sufficiency,自給自足
the 2011 Tohoku Earthquake,２０１１年の東日本大震災
tsunami,津波
preventive,予防の
nuclear,核の
radiation,放射能
radioactive,放射能の
contaminate,汚染する
prestige,名声
prestigious,有名な
distinguished,際立った
renowned,有名な
noted,有名な
notable,注目すべき
sophisticated,洗練された
refined,洗練された
bloom,名：花、動：花が咲く
hydrangea,あじさい
ogre,鬼
ubiquitous,あちこちで見かける
mechanism,仕組み
indigenous,固有の
population pyramid,人口ピラミッド
longevity,長寿
feature,名：特集、動：特集する
double,動：倍に増える、形：倍の、副：二重に、名：倍
fluctuate,変動する
rocket,動：急増する、名：ロケット
increase,増える
decrease,減る、減らす
level,名：水平線、動：横ばいになる
survey,動：調査する、名：調査
conduct,行う
illustrate,説明する
investigate,調査する
calculate,計算する
analyze,分析する
compare,比較する
diagram,図表
axis,軸
item,項目
component,構成要素
unit,単位
table,表
chart,表
category,区分
questionnaire,アンケート
ratio,割合
census,調査
sum,金額
demand,名：要求、動：要求する
rate,割合、率
proportion,割合
percentage,パーセント
comparison,比較
degree,程度
statistics,統計
research,研究
means,手段
gap,差
record,名：記録、動：記録する
data,データ
aim,名：目的、動：狙う
purpose,目的
goal,目標
instruction,指示
vertical,垂直の
horizontal,地平線上の
former,以前の
following,次の
random,無作為の
proportionate,比例して
accurate,正確な
annual,年間の
gradual,徐々の
steady,安定した
stable,安定した
steep,急な
leading,首位の
approximately,およそ
relatively,比較的
increasingly,ますます
paste,動：貼る、名：のり
bow,お辞儀する
skip,動：飛ばす、名：スキップ
grab,つかむ
grip,しっかりにぎる
grasp,ぎゅっとつかむ
bend,曲げる
stretch,伸ばす
erase,消す
ascend,上がる
overtake,追い越す
awake,形：目覚めている、動：目覚める
stapler,ホチキス
kneel,ひざまずく
tune,動：調整する、名：曲
unpack,取り出す
knot,結び目
sneeze,くしゃみをする
sweep,掃く
whisper,ささやく
yawn,あくびする
haste,急ぐこと
queue,列
spray,名：しぶき、動：吹きかける
pastime,気晴らし
nightmare,悪夢
deposit,動：置く、預金する　名：手付金
clap,手を叩く
applause,拍手
slap,たたく
scrub,ごしごし磨く
rub,こする
dye,染める
perfume,香水
refuge,避難
stiff,堅い
stick,名：棒、動：渋滞にはまらせる
appliance,器具
unplug,プラグを抜く
illuminate,照らす
install,取り付ける
insert,挿入する
scratch,動：ひっかく、名：かすり傷
crack,名：鋭い音、動：鋭い音を出す
code,規則
edge,刃、端っこ
moderate,適度な
moderately,適度に
accumulate,ためる
commercial,形：商業の、名：コマーシャル
conform,従う
studio,仕事場
vacate,空ける
modify,変更する
mend,修理する
bare,裸の
tidy,形：きちんとした、動：片付ける
mess,乱雑
scatter,まき散らす
intermission,休憩時間
refrain,控える
acknowledge,認める
pause,動：休止する、名：休止
accomplish,成し遂げる
accomplished,熟練した
achieve,達成する
attain,達成する
advance,名：前進、動：進む
passage,通路
opposite,形：反対の、前：反対に
fulfill,満たす
vain,名：無駄、形：無駄な
recall,思い出す
transform,変える
handle,動：扱う、名：取っ手
bouquet,花束
stain,動：汚す、名：汚れ
pierce,突き刺す
deed,行い
flaw,傷
secondhand,副：中古で・間接的に、形：中古の・間接的な
utilize,利用する
trap,わな
Fahrenheit,名：華氏、形：華氏の
Cslsius,名：摂氏、形：摂氏の
thermometer,温度計
seize,つかむ
overcome,克服する
obstacle,障害
surmount,打ち勝つ
reverse,動：逆転させる、名：逆転
trifle,些細なこと
discard,捨てる
alarm,名：警報、動：不安にさせる
endure,耐える
cope,うまく処理する
tackle,取り組む
impede,邪魔する
aspire,熱望する
sequence,連続
necessity,必要性
omit,省く
mail,郵便物
exhibition,展覧会
exhibit,展示する
honor,名：名誉、動：光栄に思わせる
actually,実は
subtract,引く
casual,カジュアルな
amateur,アマチュア
cupboard,食器棚
squeeze,絞る
dip,浸す
blend,混ぜる
raw,生の
grain,穀物
whiten,白くする
sharpen,鋭くする
blade,刃
carbohydrate,炭水化物
refrigerator,冷蔵庫
prescribe,処方する
symptom,症状
diagnosis,診断
throat,のど
sore,痛い
surgical,外科の
allergy,アレルギー
allergic,アレルギー体質の
decay,名：腐敗、動：腐敗させる
appointment,約束
weigh,動：重さがある
representive,代表者
abuse,名：乱用、動：乱用する
strengthen,強化する
gender,性
harassment,いやがらせ
maternity,妊婦の
feminine,女性の
masculine,男性の
glass ceiling,ガラスの天井
pregnant,妊娠した
expecting,おめでたの
counterpart,相当するもの
stalk,こっそり追う
victim,被害者
fame,名声
participant,参加者
water,名：水辺、動：水をやる
temporary,一時的な
temporarily,一時的に
congestion,混雑
state-of-the-art,最新式の
warranty,保証書
flyer,チラシ
brochure,パンフレット
multiple,多数の
advertise,宣伝する
lure,引きつける
inquire,尋ねる
publicity,知名度
regarding,〜に関して
excluding,〜を除いて
spokesperson,広報担当者
sponsor,名：スポンサー、動：スポンサーをつとめる
patronage,ひいき
subscribe,署名する、定期購読する
guarantee,動：保証する、名：保証
admission,入ること
draft,下書き
submit,服従する
deadline,締切
laboratory,実験室
tutorial,形：個別指導の、名：個別指導
distribute,分配する
intermediate,中間の
auditorium,講堂
chet,だます
dormitory,寮
semester,学期
specialize,専門的に研究する
faculty,能力、学部
thesis,論文
presence,存在
span,範囲
range,範囲
burden,負担
burdensome,重荷となる
register,登録する
scientifically,科学的に
saying,ことわざ
cite,引用する
literally,文字通りには
figuratively,比較的に
assert,主張する
grant,与える、認める
summarize,要約する
controversy,論争
controversial,賛否両論ある
paradoxically,逆説的に
objective,名：目的、形：客観的な
pros and cons,長所と短所
merit,利点
disadvantage,不利
partial,部分的な
partially,部分的に
overall,副：全体として、形：全体的な
compatible,両立できる
striking,目立った
minor,形：小さい方の、名：未成年
minority,少数派
justify,正当化する
recognition,認識
oblige,義務付ける
host,動：主催する、名：主催者
video,映像
westernize,西洋化する
indifferent,無関心な
memorable,記憶しやすい
vanity,見栄
advent,到来
cosmetic,形：化粧の・美容の、名：化粧品
commonplace,当たり前の
abolish,廃止する
melting pot,るつぼ
extracurricular,教科外の
cram,動：詰め込む、名：詰め込み教育
compulsory,義務的な
mandatory,義務の
peer,仲間
bullying,いじめ
good-looking,見た目が良い
curfew,門限
as,〜するにつれて、〜のように、〜だけれども
work,名：仕事・作品、動：機能する
safe,形：安全な、名：金庫
speculate,推測する
strike,打つ、（考えが）浮かぶ
respect,動：尊敬する、名：尊敬
sentence,名：文、動：判決をくだす
account,名：説明・勘定・口座、アカウント、動：説明する、占める
address,動：演説する、名：住所、演説
affair,事柄、浮気
apply,当てはまる。申し込む
appreciate,正しく理解する、感謝する
apprehend,逮捕する
arrangement,整理、準備
assume,思う、仮定する
awkward,ぎこちない、不器用な
break,動：壊す、名：休憩
cast,動：投げる、名：配役
celll,小部屋、細胞
cellular,細胞の、携帯電話式の
character,性格、文字
command,動：命令する、
coin,名：硬貨、動：言葉を作る
conceive,（考えを）抱く、思いつく
misconceive,誤解する
concern,名：関係・不安、動：関心を持たせる、心配させる
depression,うつ病、不況
dictate,指示する
draw,引く
due,締め切りが来た
deliberate,形：よく考えた・慎重な、動：よく考える
deliberately,慎重に
eminent,突き出た
facility,容易さ、施設
fancy,名：空想、動：空想する、形：高級な
figure,名：姿・人物・数字、動：理解する
fire,名：火、動：発砲する、解雇する
foul,汚い
flip,パラパラと読む
issue,名：問題、動：発行する
late,形：遅い、副：遅く
launch,発射する
lapse,動：経過する・失効する、名：過失
major,形：主要な、名：専攻、動：専攻する
margin,余白
object,名：物、動：反対する
otherwise,もしそうでなければ
outstanding,目立った
property,所有物
reference,言及
ruin,動：破壊させる、名：破壊
serve,仕える
settle,定住する
spell,動：つづる、名：一定期間
spoil,甘やかす
spot,名：場所、動：発見する
strain,動：引っ張る、名：緊張
subject,名：主題、形：支配下にある
suspend,ぶら下げる
then,そして、そのとき
turn,動：回転する、名：変化
wear,動：着る、名：衣服
yield,動：与える、名：産出
decline,動：傾く、名：衰退
desperate,絶望的な
ground,地面、根拠
keen,鋭い
might,助：かもしれない、名：力
while,名：時間、接：〜する間
occasion,場合
overlook,見渡す、大目に見る
reasonable,理にかなった
compelling,強制的な
remains,残り、遺跡
bachelor,学士
master,名：支配者、動：習得する
accidentally,偶然に
badly,下手に、ひどく
fraction,一部
court,宮廷、法廷
trial,試み
binding,拘束力のある
commit,委ねる
consult,相談する
deliver,配達する、伝える
correspond,一致する
convention,会議
assemble,集まる
design,設計する
aspect,側面
exclusive,独占的な
exclusively,〜だけ
traditional,伝統的な
common,共通の
potential,形：潜在的な、名：可能性
prospective,見込みのある
ultimate,最終的な
comparable,似たような
identity,アイデンティティ
complaint,苦情
local,地元の
naive,世間知らずな
diet,食事
cunning,ずるがしこい
invaluable,とても貴重な
snob,俗物
demonstrate,証明する
dicipline,動：しつける、名：しつけ
score,得点
myth,神話
wit,頭の回転
different,さまざまな
ladder,はしご、出世の手段
rein,支配
dawn,名：夜明け、動：人にとってわかりはじめる
exert,使う
process,過程
enjoy,楽しむ、享受する
something,何か
quit,やめる
dress,動：服を着せる、名：服
set,置く
film,動：撮影する、名：映画
hit,打つ
cancel,キャンセルする
pack,動：詰める、名：包み
limit,動：制限する、名：制限
sail,動：航海する、名：航海
balance,動：バランスをとる、名：はかり
date,動：デートする、名：デート、日付
hunt,狩りをする
memorize,記憶する
shout,叫ぶ
bark,吠える
owner,所有者
coworker,同僚
expert,専門家
boss,上司
president,社長、大統領
athlete,運動選手
carenter,大工
explorer,探検家
citizen,市民
attendant,付き添う人
madam,奥様
century,１世紀
sale,販売
honey,はちみつ、相手を呼ぶ言葉
million,１００万
pigeon,ハト
nearby,形：近くの、副：近くに
several,いくつかの
usual,いつもの
unusual,普通でない
past,過去の
main,主な
final,最後の
recent,最近の
successful,成功した
enjoyable,楽しい
fantastic,空想的な、素晴らしい
original,独創的な
single,たった１つの
suitable,ふさわしい
basic,形：基礎的な、名：基礎
colored,色付きの
dramatic,劇的な
flat,平らな
helpful,役に立つ
quickly,速く
else,副：そのほかに、形：そのほかの
ahead,前方に
luckily,運良く
afterward,後で
anymore,（否定文で）もはや（〜ない）
easily,簡単に
regularly,定期的に
gradually,徐々に
especislly,特に
fairly,公平に
exactly,正確に
greatly,非常に
naturally,自然に
rapidly,急速に
apart,離れて
apparently,見たところ
forever,副：永遠に、名：永遠
throughout,〜の間ずっと
mansion,大豪邸
apartment,アパート
vegetable,野菜
drugstore,ドラッグストア
microwave,電子レンジ
clinic,診療所
backyard,裏庭
meal,食事
rug,敷物
entrance,入り口
costume,衣服
miniature,ミニチュア
decoration,飾り
tournament,トーナメント
ballet,バレエ
charity,慈善
puppet,操り人形
puppy,子犬
sunset,日没
portable,持ち運びできる
loud,形：大声の、副：大声で
aloud,声を出して
cheerful,元気な
blind,目の見えない
afraid,怖がって
dependent,依存している
absent,欠席の
healthy,健康な
celebration,祝賀
beauty,美
agreement,同意
horror,恐怖
future,将来
entertainment,娯楽
organization,組織
silence,静けさ
position,名：位置、動：置く
chance,偶然、可能性
accident,事故
discovery,発見
center,中心
choice,選択
route,道
activity,活動
average,平均
homestay,ホームステイ
middle,真ん中
success,成功
bacteria,バクテリア
eucation,教育
movement,動き
explanation,説明
graduation,卒業
chemistry,化学
environmentally,環境保護の点で
prize,賞
butterfly,チョウ
crocodile,ワニ
suggestion,提案
plenty,たくさん
shape,名：形、動：形作る
area,地域
countryside,田舎
network,ネットワーク
transportation,輸送
journey,旅行
nation,国家
adventure,冒険
euro,ユーロ
national,国民の
international,国際的な
factory,工場
cash,現金
engine,エンジン
space,空間、宇宙
skin,肌
signal,合図
soldier,兵士
war,戦争
symbol,象徴
coast,海岸
victory,勝利
development,発展
veterinarian,獣医
rival,名：ライバル、動：匹敵する
millionaire,大金持ち
billion,10億
politician,政治家
technician,技術者
implant,植え付ける
rebuild,再建する
conclude,結論を出す
repay,返す
adore,大好きだ
formulate,公式化する
instruct,指示する
overdo,やりすぎる
overturn,動：ひっくり返す、名：ひっくり返すこと
refresh,元気にする
smash,砕ける
wave,動：手を振る、名：波
delete,削除する
permission,許可
angle,角度
background,背景
malnutrition,栄養失調
hometown,故郷
location,場所
production,生産
accuracy,正確さ
rehearsal,リハーサル
rhythm,リズム
accent,なまり
animation,元気、アニメ
championship,選手権
checkup,検査
essay,エッセイ
fitness,健康
hardship,苦難
investment,投資
misunderstanding,誤解
negotiation,交渉
phrase,表現
tension,緊張
vitality,元気
united,団結した
various,さまざまな
efficient,有能な
nonprofit,非営利的な
ignorant,無知な
independent,独立した
military,軍の
mysterious,不思議な
short-term,短期の
ambitious,野心がある
chilly,寒い
enthusiastic,熱狂的な
faithful,忠実な
suspicious,疑って
troublesome,面倒な
sincerely,心から
mainly,主に
simply,単に
extremely,極端に
immediately,直ちに
gently,やさしく
politely,丁寧に
properly,適切に
automatically,自動で
mentally,精神的に
closely,念入りに
constantly,絶えず
eagerly,熱心に
endlessly,果てしなく
incredibly,信じれないほど
proudly,誇らしげに
repeatedly,繰り返して
tourism,観光旅行
backpack,バックパック
cab,タクシー
scenery,風景
latitude,緯度
longitude,経度
regional,地方の
religious,宗教の
mountainous,山地の
fur,毛皮
rainforest,熱帯雨林
rainstorm,暴風雨
breeze,そよ風
cave,洞窟
tornado,竜巻
claw,爪
path,道
peak,頂点
shellfish,貝類
explosion,爆発
pollute,汚染する
jam,混雑
laptop,ラップトップ型パソコン
buffet,ビュッフェ
motorcycle,オートバイ
salary,給料
wheelchair,車椅子
cuisine,料理
flour,小麦粉
jar,瓶
eyesight,視力
wage,賃金
fiction,フィクション
scar,傷跡
wealthy,裕福な
talkative,おしゃべりな
affectionate,愛情がある
stressful,ストレスが多い
presentation,贈呈、発表
addition,付け加えること
container,容器
lens,レンズ
depth,深さ
impact,影響
lecture,講義
link,つながり
series,一続き
storage,保管
guideline,ガイドライン
physics,物理学
distinction,区別
organic,有機の
